sign,start_deg,end_deg,ruler
Aries,0,6,Jupiter
Aries,6,14,Venus
Aries,14,21,Mercury
Aries,21,26,Mars
Aries,26,30,Saturn
Taurus,0,8,Venus
Taurus,8,14,Mercury
Taurus,14,22,Jupiter
Taurus,22,27,Saturn
Taurus,27,30,Mars
Gemini,0,6,Jupiter
Gemini,6,14,Venus
Gemini,14,21,Mercury
Gemini,21,28,Mars
Gemini,28,30,Saturn
Cancer,0,7,Mars
Cancer,7,13,Venus
Cancer,13,19,Mercury
Cancer,19,28,Jupiter
Cancer,28,30,Saturn
Leo,0,6,Saturn
Leo,6,13,Mercury
Leo,13,19,Venus
Leo,19,25,Jupiter
Leo,25,30,Mars
Virgo,0,7,Mercury
Virgo,7,13,Venus
Virgo,13,17,Jupiter
Virgo,17,21,Mercury
Virgo,21,30,Saturn
Libra,0,6,Saturn
Libra,6,14,Mercury
Libra,14,21,Jupiter
Libra,21,28,Venus
Libra,28,30,Mars
Scorpio,0,7,Mars
Scorpio,7,13,Venus
Scorpio,13,19,Mercury
Scorpio,19,24,Jupiter
Scorpio,24,30,Saturn
Sagittarius,0,12,Jupiter
Sagittarius,12,17,Venus
Sagittarius,17,21,Mercury
Sagittarius,21,26,Saturn
Sagittarius,26,30,Mars
Capricorn,0,7,Mercury
Capricorn,7,14,Jupiter
Capricorn,14,22,Venus
Capricorn,22,26,Saturn
Capricorn,26,30,Mars
Aquarius,0,7,Mercury
Aquarius,7,13,Venus
Aquarius,13,20,Jupiter
Aquarius,20,25,Mars
Aquarius,25,30,Saturn
Pisces,0,12,Venus
Pisces,12,19,Jupiter
Pisces,19,24,Mercury
Pisces,24,27,Mars
Pisces,27,30,Saturn
