Type,Name/Combo,Category,Keywords,Level_1,Level_2,Level_3,Level_4,Level_5,Modern,Traditional,Psychological,ACG_Details,Status,Notes
"","","","","Level 1: Technical Description","Level 2: Basic Meaning","Level 3: Psychological Insight","Level 4: Life Expression","Level 5: Spiritual/Evolutionary Context","Modern tradition interpretation","Traditional/Hellenistic interpretation","Psychological/Evolutionary interpretation","ACG/Paran/Line details if relevant","Draft/Review/Final","Any notes or references"
Planet,Sun,Core,"life force, vitality, identity, expression, purpose, consciousness, will, creativity, heart, ego, individuality, leadership, father","The Sun represents the central life-giving force in astrology, symbolizing one's essential self and core identity. It governs vitality, consciousness, and personal expression.","The Sun indicates where and how a person shines brightest, expressing their authentic self through creative self-expression and purposeful action. It represents one's sense of purpose and where one naturally draws attention.","Psychologically, the Sun represents the ego-identity, the conscious self that mediates between inner drives and outer reality. It indicates how one integrates various aspects of personality into a coherent whole and seeks recognition.","In life expression, the Sun shows where one seeks to make their mark on the world, taking center stage and expressing individual creative potential. It represents leadership capacity, the ability to initiate, and where one naturally radiates confidence.","At its highest spiritual level, the Sun represents the Higher Self or Soul, the immortal essence beyond personality. It symbolizes the path toward self-realization, spiritual illumination, and the discovery of one's unique contribution to humanity.","In modern astrology, the Sun represents the conscious personality, vital energy, and creative self-expression. It's seen as the integrating principle that unifies all aspects of the personality and drives toward wholeness.","In traditional astrology, the Sun was associated with nobility, royalty, gold, and the vital spirit. As the 'king' of the planets, it represents authority, dignity, honor, and the father figure.","The Sun represents the drive toward individuation and self-actualization. It shows where we seek to integrate disparate parts of ourselves into a coherent whole, developing ego-strength that allows for authentic self-expression.",,"Draft","References: Liz Greene, Howard Sasportas, Robert Hand"
Planet,Moon,Core,"emotions, instincts, nurturing, mother, home, memory, past, habits, security, unconscious, receptivity, intuition, cyclical change","The Moon represents the unconscious emotional nature in astrology, symbolizing instinctual responses, feelings, and subconscious patterns. It governs receptivity, nurturing, and emotional security needs.","The Moon indicates how a person responds emotionally to experiences, showing habitual feeling patterns and where one seeks comfort and security. It represents one's inner child, emotional memory, and connection to the mother or primary caregiver.","Psychologically, the Moon represents the personal unconscious, containing emotional memories and learned responses from early childhood. It shows how one nurtures themselves and others, processes feelings, and seeks emotional sustenance.","In life expression, the Moon manifests as one's emotional temperament, domestic life, relationship to family (especially women and children), and fluctuating moods. It represents adaptability, sensitivity, and where one naturally provides care and protection.","At its highest spiritual level, the Moon represents the soul's emotional wisdom accumulated through many incarnations. It symbolizes the capacity for unconditional love, empathic connection to all beings, and intuitive understanding of universal emotional patterns.","In modern astrology, the Moon represents emotional needs, sensitivity, the unconscious mind, and cyclical change. It's seen as complementary to the Sun, representing our receptive, feeling-oriented side.","In traditional astrology, the Moon was associated with silver, fluids, cycles, and fertility. It governed the common people, women, and was considered the 'queen' to the Sun's 'king,' mediating celestial influences to Earth.","The Moon represents our emotional body and capacity for nurturing. It shows our psychological roots, familial patterns, and how we care for ourselves and others. It indicates how we process feelings and create emotional security.",,"Draft","References: Liz Greene, Howard Sasportas, Dane Rudhyar"
Planet,Mercury,Core,"communication, intellect, thinking, learning, information, perception, analysis, language, writing, speaking, curiosity, adaptability, dexterity","Mercury represents the principle of communication and mental processing in astrology, symbolizing how one thinks, learns, and exchanges information. It governs intellectual functions, verbal and written expression.","Mercury indicates how a person perceives and interprets information, showing one's learning style, communication preferences, and intellectual interests. It represents curiosity, mental agility, and the capacity to make connections between ideas.","Psychologically, Mercury represents the rational mind that analyzes, categorizes, and makes sense of experience. It shows how one processes information, formulates thoughts, and connects with others through language and ideas.","In life expression, Mercury manifests in education, communication skills, writing, speaking, teaching, and all forms of information exchange. It represents adaptability, versatility, and how one navigates daily interactions and practical problem-solving.","At its highest spiritual level, Mercury represents the capacity to transcend dualistic thinking and access higher forms of knowledge. It symbolizes the awakened mind that perceives interconnections between all things and communicates spiritual understanding.","In modern astrology, Mercury represents the conscious mind, communication style, and intellectual approach. It shows how we learn, process information, and connect with others through verbal and written exchange.","In traditional astrology, Mercury was considered changeable and adaptable, neither masculine nor feminine. It governed trade, skill, youth, and was the messenger of the gods, mediating between different realms.","Mercury represents our intellectual capacity and communication style. It shows how we learn, think, and exchange information with others. It indicates our rational approach to life and ability to adapt to changing circumstances.",,"Draft","References: Richard Tarnas, Demetra George, Robert Hand"
Planet,Venus,Core,"love, beauty, harmony, attraction, values, pleasure, relationships, aesthetics, art, diplomacy, sensuality, affection, femininity","Venus represents the principle of attraction and harmony in astrology, symbolizing love, beauty, and what one values. It governs relationships, aesthetic appreciation, and pleasure-seeking.","Venus indicates how a person experiences and expresses love and affection, showing relationship preferences, aesthetic tastes, and what brings pleasure. It represents social grace, diplomacy, and the capacity to create harmony and beauty.","Psychologically, Venus represents the anima in men and self-worth in women. It shows how one relates to others emotionally, what one finds attractive, and the internal value system that guides choices in love and aesthetics.","In life expression, Venus manifests in romantic relationships, artistic pursuits, social connections, and material comforts. It represents charm, diplomacy, and how one creates beauty, harmony, and pleasure in everyday life.","At its highest spiritual level, Venus represents divine love that transcends personal attachment. It symbolizes the soul's capacity to recognize beauty in all manifestations and experience harmony with the universe through unconditional love.","In modern astrology, Venus represents love nature, personal values, and aesthetic sensibilities. It shows how we form connections, what we find beautiful, and where we seek harmony and pleasure in life.","In traditional astrology, Venus was associated with copper, feminine beauty, and fertility. It governed love, marriage, art, luxury, and was considered the lesser benefic, bringing blessings and pleasures to life.","Venus represents our capacity for relationship and value assessment. It shows how we connect with others romantically, what we find beautiful, and what we consider worthwhile. It indicates our approach to pleasure and harmony.",,"Draft","References: Liz Greene, Caroline Casey, Howard Sasportas"
Planet,Mars,Core,"action, energy, drive, assertion, courage, competition, desire, sexuality, anger, initiative, independence, warriors, masculine","Mars represents the principle of action and energy in astrology, symbolizing drive, courage, and how one asserts themselves. It governs desire, initiative, and the will to act independently.","Mars indicates how a person expresses drive and desire, showing action patterns, what motivates them to act, and how they pursue goals. It represents courage, competitive spirit, and the capacity to overcome obstacles through direct action.","Psychologically, Mars represents the animus in women and self-assertion in men. It shows how one handles anger, expresses desire, and channels aggressive energy. It indicates survival instincts and the fight-or-flight response.","In life expression, Mars manifests in career ambition, physical activities, sexual expression, and confrontational situations. It represents leadership, pioneering spirit, and how one fights for what they want and protects what they value.","At its highest spiritual level, Mars represents divine will and righteous action in service of higher principles. It symbolizes the courage to fight for truth and justice, disciplined spiritual practice, and the energy to transform obstacles into opportunities for growth.","In modern astrology, Mars represents drive, desire, and action-oriented energy. It shows where we direct our physical energy, how we assert ourselves, and what motivates us to take initiative.","In traditional astrology, Mars was associated with iron, blood, heat, and conflict. It governed warriors, surgeons, and was considered the lesser malefic, bringing challenges that strengthen through adversity.","Mars represents our action principle and approach to desire. It shows how we pursue what we want, defend what we have, and express our sexual energy. It indicates our style of self-assertion and capacity for independent action.",,"Draft","References: Robert Hand, Richard Tarnas, Steven Forrest"
Planet,Jupiter,Core,"expansion, growth, optimism, faith, philosophy, abundance, wisdom, justice, higher learning, travel, luck, benevolence, opportunity","Jupiter represents the principle of expansion and growth in astrology, symbolizing optimism, faith, and opportunities for development. It governs philosophy, higher education, and the search for meaning.","Jupiter indicates how a person seeks to expand their horizons and find meaning, showing where they experience good fortune, generosity, and opportunities for growth. It represents optimism, faith in life, and the capacity to envision possibilities beyond current limitations.","Psychologically, Jupiter represents the part of us that seeks meaning and believes in something greater than ourselves. It shows how one develops a coherent worldview, where one places faith, and how one finds hope in challenging circumstances.","In life expression, Jupiter manifests in travel, higher education, spiritual pursuits, and fortunate circumstances. It represents generosity, joviality, and how one embraces abundance, shares wisdom, and contributes to social welfare.","At its highest spiritual level, Jupiter represents cosmic consciousness and connection to universal wisdom. It symbolizes the soul's expansive journey toward enlightenment, embodying truth, wisdom, and benevolence that uplifts all beings.","In modern astrology, Jupiter represents our capacity for growth, optimism, and meaning-making. It shows where we experience abundance, how we expand our horizons, and where we seek philosophical understanding.","In traditional astrology, Jupiter was associated with tin, abundance, and good fortune. It governed clergy, judges, and was considered the greater benefic, bringing blessings, opportunity, and protection.","Jupiter represents our search for meaning and capacity for growth. It shows where we find abundance, how we develop faith and optimism, and what philosophical principles guide our lives. It indicates where we experience fortunate opportunities.",,"Draft","References: Rick Tarnas, Jeffrey Wolf Green, Howard Sasportas"
Planet,Saturn,Core,"structure, limitation, discipline, responsibility, authority, time, maturity, ambition, achievement, fear, father, karma, perseverance","Saturn represents the principle of structure and limitation in astrology, symbolizing discipline, responsibility, and the lessons that come through time and experience. It governs boundaries, authority, and the material world.","Saturn indicates how a person experiences boundaries and limitations, showing where they face challenges that require patience, discipline, and sustained effort. It represents ambition, responsibility, and the capacity to build enduring structures through methodical work.","Psychologically, Saturn represents the superego or internal authority that establishes rules and judges performance. It shows how one handles fear, relates to authority figures, and develops self-discipline through confronting personal limitations.","In life expression, Saturn manifests in career achievement, societal roles, long-term commitments, and structures that provide security. It represents maturity, wisdom gained through experience, and how one accepts responsibility and establishes credibility in the world.","At its highest spiritual level, Saturn represents divine law and the soul's accountability for its choices across lifetimes. It symbolizes the wisdom of age, spiritual maturity, and the capacity to create enduring structures that serve humanity beyond individual lifetimes.","In modern astrology, Saturn represents our capacity for discipline, structure, and responsibility. It shows where we face limitations that force growth, how we build reliable foundations, and where we seek to achieve tangible results.","In traditional astrology, Saturn was associated with lead, cold, and hardship. It governed the elderly, builders, and was considered the greater malefic, bringing necessary challenges that build character and endurance.","Saturn represents our relationship to limits, structure, and authority. It shows where we must develop discipline, how we handle responsibility, and what fears we must overcome to achieve maturity. It indicates where we build lasting structures in life.",,"Draft","References: Liz Greene, Richard Tarnas, Steven Forrest"
Planet,Uranus,Core,"revolution, innovation, rebellion, individuality, freedom, originality, disruption, technology, awakening, genius, eccentricity, shock","Uranus represents the principle of sudden change and awakening in astrology, symbolizing revolution, innovation, and breaking free from limitations. It governs technology, originality, and unpredictable events that disrupt established patterns.","Uranus indicates how a person experiences and expresses individuality and freedom, showing where they rebel against convention, innovate, and experience sudden insights or changes. It represents originality, eccentricity, and the capacity to envision and create the future.","Psychologically, Uranus represents the part of us that rejects conformity and seeks freedom from social conditioning. It shows how one expresses uniqueness, handles sudden change, and accesses intuitive flashes of insight that transcend rational thought.","In life expression, Uranus manifests in revolutionary activities, technological innovation, unconventional relationships, and sudden life changes. It represents progressive thinking, humanitarian ideals, and how one contributes to collective evolution through revolutionary ideas or actions.","At its highest spiritual level, Uranus represents cosmic consciousness that transcends individual ego boundaries. It symbolizes enlightenment that comes through sudden awakening, the liberation of consciousness from material limitations, and attunement to universal mind.","In modern astrology, Uranus represents our need for freedom, innovation, and authentic self-expression. It shows where we break from tradition, how we experience sudden insights, and where we contribute unique perspectives to collective evolution.","Uranus was discovered in 1781 during the American and French revolutions, and is associated with radical change, democracy, and scientific breakthroughs. In traditional astrology, its qualities were partly attributed to Mercury and Saturn.","Uranus represents our capacity for sudden awakening and originality. It shows where we need freedom, how we express our uniqueness, and what patterns we must break to evolve. It indicates where we experience liberation through revolutionary change.",,"Draft","References: Richard Tarnas, Jeffrey Wolf Green, Howard Sasportas"
Planet,Neptune,Core,"spirituality, imagination, dreams, illusion, compassion, mysticism, idealism, dissolution, inspiration, transcendence, sacrifice, addiction","Neptune represents the principle of transcendence and dissolution in astrology, symbolizing spirituality, imagination, and the blurring of boundaries. It governs intuition, compassion, and experiences that transcend ordinary reality.","Neptune indicates how a person experiences and expresses spirituality and imagination, showing where they idealize, dissolve boundaries, and access transcendent states. It represents sensitivity, compassion, and the capacity to merge with something greater than oneself.","Psychologically, Neptune represents the collective unconscious and the dissolution of ego boundaries. It shows how one accesses intuition, processes dreams and fantasy, and develops compassion through recognizing the interconnectedness of all beings.","In life expression, Neptune manifests in spiritual practices, artistic inspiration, compassionate service, and sometimes confusion or escapism. It represents idealism, sacrifice for others, and how one channels divine inspiration into creative or healing work.","At its highest spiritual level, Neptune represents mystical union with the divine and unconditional love for all creation. It symbolizes the dissolution of the separate self into cosmic consciousness, compassion that knows no boundaries, and divine inspiration that flows through the surrendered ego.","In modern astrology, Neptune represents our capacity for imagination, spirituality, and transcendence of ego boundaries. It shows where we seek ideal states, how we access intuitive wisdom, and where we may experience both inspiration and confusion.","Neptune was discovered in 1846 during the rise of spiritualism, anesthetics, and Romanticism. In traditional astrology, its qualities were partly attributed to Jupiter and the Moon, governing oceanic depths and mystical experiences.","Neptune represents our yearning for transcendence and spiritual connection. It shows where we seek ideal states, how we express compassion and creativity, and what illusions we must clarify to achieve genuine spiritual understanding.",,"Draft","References: Liz Greene, Richard Tarnas, Jeffrey Wolf Green"
